Font,Height,Width,Radius,Area
quoteleft.png,101,20,50.894596099853516,1797
Z.png,101,57,57.30629348754883,3797
exclam.png,101,27,51.6624641418457,1881
dieresis.png,101,30,52.06016159057617,2901
quotesinglbase.png,101,19,50.80364227294922,1694
C.png,101,52,56.1271858215332,3608
n.png,101,57,57.30629348754883,3879
L.png,101,51,55.901798248291016,3539
b.png,101,61,58.30961990356445,3799
null.png,101,1,50.000099182128906,101
I.png,101,29,51.923118591308594,1729
guilsinglleft.png,101,36,52.97414779663086,3172
ydieresis.png,107,50,58.38888168334961,3078
z.png,101,53,56.356109619140625,3338
Agrave.png,115,56,63.28714370727539,4652
c.png,101,45,54.6260986328125,3263
two.png,101,53,56.356109619140625,3632
j.png,108,40,56.94305419921875,2657
Euro.png,101,53,56.356109619140625,4037
p.png,109,56,60.59918975830078,3943
exclamdown.png,105,25,53.366756439208984,1781
percent.png,101,55,56.82439041137695,4167
Y.png,101,63,58.83036422729492,4018
Ydieresis.png,107,64,61.65437698364258,4347
acute.png,101,21,50.99029541015625,1964
minus.png,101,45,54.6260986328125,4375
Atilde.png,111,56,61.49197006225586,4340
uni000A.png,101,1,50.000099182128906,101
guillemotright.png,101,60,58.053955078125,5194
Udieresis.png,106,62,60.716651916503906,4441
Zcaron.png,113,58,62.835201263427734,4337
Icircumflex.png,114,33,58.721900939941406,2321
Oacute.png,118,59,65.29367065429688,4919
Ecircumflex.png,116,59,64.39924621582031,4528
dollar.png,102,45,55.08412551879883,3063
caron.png,101,35,52.81108474731445,3157
Ucircumflex.png,113,62,63.76725387573242,4719
Odieresis.png,109,59,61.294471740722656,4457
k.png,101,51,55.901798248291016,3162
t.png,101,45,54.6260986328125,3144
agrave.png,101,59,57.801483154296875,3859
quotedbl.png,101,37,53.14141845703125,3313
V.png,101,56,57.06365966796875,4008
X.png,101,55,56.82439041137695,3634
ampersand.png,102,52,56.57305908203125,3454
y.png,106,51,58.148616790771484,3283
oslash.png,101,44,54.42665481567383,2941
a.png,101,59,57.801483154296875,4009
numbersign.png,101,59,57.801483154296875,4398
Idieresis.png,111,33,57.280113220214844,2302
Ograve.png,116,59,64.39924621582031,4824
cedilla.png,106,24,53.74486541748047,2324
B.png,101,66,59.634403228759766,4154
Iacute.png,116,29,59.179908752441406,2020
four.png,101,59,57.801483154296875,4151
udieresis.png,101,52,56.1271858215332,3567
idieresis.png,101,29,51.923118591308594,2069
m.png,101,88,66.27415466308594,5652
u.png,101,52,56.1271858215332,3785
aacute.png,101,58,57.552249908447266,3710
Aring.png,116,56,63.73784255981445,4670
parenright.png,101,41,53.85174560546875,3428
seven.png,101,46,54.82938003540039,3263
hyphen.png,101,48,55.24727249145508,4450
Edieresis.png,110,59,61.73542022705078,4294
lslash.png,101,35,52.81108474731445,2300
H.png,101,73,61.611785888671875,4178
multiply.png,101,42,54.03943634033203,3762
OE.png,101,96,68.96566772460938,6234
ocircumflex.png,101,43,54.23108673095703,2770
ntilde.png,101,57,57.30629348754883,3598
T.png,101,55,56.82439041137695,3972
x.png,101,45,54.6260986328125,3288
Yacute.png,115,64,65.1249771118164,4870
Thorn.png,101,54,56.588523864746094,3306
period.png,101,16,50.559471130371094,1510
quotesingle.png,101,20,50.894596099853516,1805
grave.png,101,22,51.09070587158203,2021
R.png,101,64,59.095359802246094,3818
egrave.png,101,46,54.82938003540039,3222
.notdef.png,101,54,56.588523864746094,5454
Ccedilla.png,106,52,58.36532974243164,3664
h.png,101,57,57.30629348754883,3435
quotedblleft.png,101,36,52.97414779663086,3187
Igrave.png,116,29,59.179908752441406,2040
three.png,101,52,56.1271858215332,3577
M.png,101,90,66.93476867675781,5389
ccedilla.png,107,45,57.384765625,3306
f.png,101,51,55.901798248291016,3587
Ocircumflex.png,116,59,64.39924621582031,4684
eight.png,101,52,56.1271858215332,3328
zero.png,101,48,55.24727249145508,3189
scaron.png,101,36,52.97414779663086,2385
zcaron.png,110,53,60.38428497314453,3514
s.png,101,36,52.97414779663086,2700
question.png,101,48,55.24727249145508,3860
e.png,101,46,54.82938003540039,3331
Aacute.png,116,56,63.73784255981445,4709
A.png,101,56,57.06365966796875,4036
ugrave.png,101,51,55.901798248291016,3538
quoteright.png,101,20,50.894596099853516,1801
K.png,101,65,59.36338806152344,4039
adieresis.png,101,59,57.801483154296875,3865
Lslash.png,101,53,56.356109619140625,3708
five.png,101,50,55.679988861083984,3522
six.png,101,55,56.82439041137695,3803
eth.png,101,50,55.679988861083984,3076
eacute.png,101,46,54.82938003540039,3191
uacute.png,101,52,56.1271858215332,3559
equal.png,101,49,55.461795806884766,4527
Acircumflex.png,115,56,63.28714370727539,4477
iacute.png,101,25,51.41994094848633,1610
icircumflex.png,101,34,52.652259826660156,2415
Uacute.png,114,62,64.20679473876953,4863
asciitilde.png,101,52,56.1271858215332,4929
w.png,101,73,61.611785888671875,5380
Eacute.png,118,59,65.29367065429688,4742
AE.png,101,95,68.62225341796875,6226
Ugrave.png,113,62,63.76725387573242,4849
atilde.png,101,59,57.801483154296875,3704
ae.png,101,81,64.03134155273438,5547
uni0000.png,101,1,50.000099182128906,101
asciicircum.png,101,33,52.497718811035156,2993
tilde.png,101,38,53.3128547668457,3561
E.png,101,59,57.801483154296875,3921
nine.png,101,55,56.82439041137695,3820
divide.png,101,45,54.6260986328125,4072
space.png,101,31,52.20163345336914,3131
Germandbls.png,101,68,60.18523025512695,4125
otilde.png,101,44,54.42665481567383,2834
r.png,101,46,54.82938003540039,3390
Otilde.png,114,59,63.507972717285156,4574
macron.png,101,32,52.347496032714844,3067
Ntilde.png,113,68,65.25536346435547,4614
acircumflex.png,101,58,57.552249908447266,3628
thorn.png,102,44,54.88634490966797,2898
D.png,101,63,58.83036422729492,3927
g.png,106,49,57.72574234008789,3283
aring.png,101,58,57.552249908447266,3701
edieresis.png,101,46,54.82938003540039,3195
colon.png,101,19,50.80364227294922,1697
yacute.png,107,50,58.38888168334961,3116
W.png,101,87,65.9470443725586,5390
germandbls.png,104,54,57.91814422607422,3579
underscore.png,101,55,56.82439041137695,4949
S.png,101,43,54.23108673095703,3018
ograve.png,101,43,54.23108673095703,2831
plus.png,101,34,52.652259826660156,3086
Adieresis.png,109,56,60.59918975830078,4327
J.png,101,51,55.901798248291016,3757
uni000D.png,101,1,50.000099182128906,101
ecircumflex.png,101,46,54.82938003540039,2958
N.png,101,68,60.18523025512695,4018
igrave.png,101,25,51.41994094848633,1612
F.png,101,60,58.053955078125,4004
semicolon.png,101,22,51.09070587158203,1817
oacute.png,101,43,54.23108673095703,2877
less.png,101,41,53.85174560546875,3590
odieresis.png,101,43,54.23108673095703,2876
quotedblright.png,101,36,52.97414779663086,3195
greater.png,101,41,53.85174560546875,3670
quotedblbase.png,101,36,52.97414779663086,3190
O.png,101,59,57.801483154296875,4104
q.png,105,53,58.13786697387695,3335
uni00A0.png,101,31,52.20163345336914,3131
one.png,101,45,54.6260986328125,2884
Egrave.png,117,59,64.8460693359375,4725
G.png,101,57,57.30629348754883,4042
P.png,101,59,57.801483154296875,3731
Q.png,101,59,57.801483154296875,3750
comma.png,101,21,50.99029541015625,1841
U.png,101,62,58.56843566894531,4244
l.png,101,28,51.79054260253906,1650
Eth.png,101,66,59.634403228759766,4176
Scaron.png,114,43,60.276546478271484,3360
i.png,101,25,51.41994094848633,1638
guillemotleft.png,101,59,57.801483154296875,5102
ucircumflex.png,101,52,56.1271858215332,3368
uni00AD.png,101,1,50.000099182128906,101
o.png,101,43,54.23108673095703,3021
guilsinglright.png,101,30,52.06016159057617,2648
questiondown.png,105,44,56.26953887939453,3641
d.png,101,61,58.30961990356445,3892
Oslash.png,101,59,57.801483154296875,3737
parenleft.png,101,41,53.85174560546875,3416
oe.png,101,79,63.41145324707031,5446
at.png,101,77,62.80137252807617,5816
v.png,101,44,54.42665481567383,3131
